eng,es
dog,perro
dog,perra
branch,rama
bush,arbusto
bridge,puente
people,gente
deer,ciervo
dalmatian,dálmata
trunk,tronco
wood,madera
bench,banco
flower stand,floristerÃ­a
flowers,flores
florist,florista
flower stand,floristería
trail,camino
path,sendero
river,rÃ­o
river,río
berries,bayas
berry,baya
fish,peces
fish,pez
fish,pescado
fish,pescados
blanket,manta
picnic,pícnic
bowl,cuenco
mat,estera
bikers,biciclistas
bicycle,bicicleta
people,personas
basket,cesta
stand,puesto
tablecloth,mantel
grandparents,abuelos
elderly people,viejos
elderly man,viejo
elderly woman,vieja
