,map,lang,speaker,text,nouns
0,1,es,bot,"hey, q tal? empezamos el juego?",el juego
1,1,eng,bot,"i'm starting at the twig. so, where do we go from here?",the twig
2,1,eng,human,follow the small path that is past the snake to the other island,the small path
3,1,eng,human,follow the small path that is past the snake to the other island,the snake
4,1,eng,human,follow the small path that is past the snake to the other island,the other island
5,1,eng,bot,"i'm near the snake right now. where do we go to next, mate?",the snake
6,1,eng,human,cross over the snake and there is a small path that will lead you to the other island where the girraffe is,the snake
7,1,eng,human,cross over the snake and there is a small path that will lead you to the other island where the girraffe is,a small path
8,1,eng,human,cross over the snake and there is a small path that will lead you to the other island where the girraffe is,the other island
9,1,eng,human,cross over the snake and there is a small path that will lead you to the other island where the girraffe is,the girraffe
10,1,eng,bot,"got it, i'm crossing over the snake now",the snake
11,1,eng,bot,"alright, i see the giraffe. wanna guide me from here?",the giraffe
12,1,eng,human,"yes, cross over the two rocks to the next island and you will see a big black rock and you will want to cross over that and walk across the alligator",the next island
13,1,eng,human,"yes, cross over the two rocks to the next island and you will see a big black rock and you will want to cross over that and walk across the alligator",a big black rock
14,1,eng,human,"yes, cross over the two rocks to the next island and you will see a big black rock and you will want to cross over that and walk across the alligator",the alligator
15,1,eng,human,when you cross the alligator let me know,the alligator
16,1,eng,bot,i see the alligator now. going over it,the alligator
17,1,eng,bot,"all right, mate",mate
18,1,eng,bot,i've made it past the alligator. what's next on this adventure?,the alligator
19,1,eng,human,ok walk forward to the middle of the island and then pass the frog and circle back toward the rocks that are past the frog and then cross those to get to the next island,the middle
20,1,eng,human,ok walk forward to the middle of the island and then pass the frog and circle back toward the rocks that are past the frog and then cross those to get to the next island,the island
21,1,eng,human,ok walk forward to the middle of the island and then pass the frog and circle back toward the rocks that are past the frog and then cross those to get to the next island,the frog
22,1,eng,human,ok walk forward to the middle of the island and then pass the frog and circle back toward the rocks that are past the frog and then cross those to get to the next island,the frog
23,1,eng,human,ok walk forward to the middle of the island and then pass the frog and circle back toward the rocks that are past the frog and then cross those to get to the next island,the next island
24,1,eng,bot,"passing the frog, heading back to the rocks",the frog
25,1,eng,human,"once you get to the next island, take a left and go around the trees, pass the elephant and take a right toward the log that connects to the next island",the next island
26,1,eng,human,"once you get to the next island, take a left and go around the trees, pass the elephant and take a right toward the log that connects to the next island",a left
27,1,eng,human,"once you get to the next island, take a left and go around the trees, pass the elephant and take a right toward the log that connects to the next island",the elephant
28,1,eng,human,"once you get to the next island, take a left and go around the trees, pass the elephant and take a right toward the log that connects to the next island",a right
29,1,eng,human,"once you get to the next island, take a left and go around the trees, pass the elephant and take a right toward the log that connects to the next island",the log
30,1,eng,human,"once you get to the next island, take a left and go around the trees, pass the elephant and take a right toward the log that connects to the next island",the next island
31,1,eng,bot,"hey, i'm at the next island. taking a left and going around the trees now",the next island
32,1,eng,bot,now pass the elephant. and taking a right toward the log. gotcha,the elephant
33,1,eng,human,cross the log and walk directly forward past the big rock and the tiger and you will see another log that will take you to the last island and the end,the log
34,1,eng,human,cross the log and walk directly forward past the big rock and the tiger and you will see another log that will take you to the last island and the end,the big rock
35,1,eng,human,cross the log and walk directly forward past the big rock and the tiger and you will see another log that will take you to the last island and the end,the tiger
36,1,eng,human,cross the log and walk directly forward past the big rock and the tiger and you will see another log that will take you to the last island and the end,another log
37,1,eng,human,cross the log and walk directly forward past the big rock and the tiger and you will see another log that will take you to the last island and the end,the last island
38,1,eng,human,cross the log and walk directly forward past the big rock and the tiger and you will see another log that will take you to the last island and the end,the end
39,1,eng,bot,"crossing the log, walking straight past the big rock and the tiger",the log
40,1,eng,bot,"crossing the log, walking straight past the big rock and the tiger",the big rock
41,1,eng,bot,"crossing the log, walking straight past the big rock and the tiger",the tiger
42,1,eng,bot,"i'm on it, mate",mate
43,2,eng,bot,"make a cool u-turn back towards our furry friend, the white dog. crossing the trail again. you're doing awesome!",a cool u-turn
44,2,eng,bot,"make a cool u-turn back towards our furry friend, the white dog. crossing the trail again. you're doing awesome!",our furry friend
45,2,eng,bot,"make a cool u-turn back towards our furry friend, the white dog. crossing the trail again. you're doing awesome!",the white dog
46,2,eng,human,I am sitting next to the dog,the dog
47,2,eng,bot,"you'll spot another white dog chilling by a checkered picnic mat. keep on this path, you're doing great!",another white dog
