,map,lang,speaker,text,nouns
0,1,es,bot,"hey, q tal? empezamos el juego?",tal
1,1,es,bot,"hey, q tal? empezamos el juego?",el juego
2,1,eng,bot,"hey there! i'm seeing a map with a bunch of animals and things: a twig, a tiger, a butterfly, a parrot, an elephant, a frog, a crocodile, a giraffe, a snake, and some treasure",a map
3,1,eng,bot,"hey there! i'm seeing a map with a bunch of animals and things: a twig, a tiger, a butterfly, a parrot, an elephant, a frog, a crocodile, a giraffe, a snake, and some treasure",a bunch
4,1,eng,bot,"hey there! i'm seeing a map with a bunch of animals and things: a twig, a tiger, a butterfly, a parrot, an elephant, a frog, a crocodile, a giraffe, a snake, and some treasure",animals
5,1,eng,bot,"hey there! i'm seeing a map with a bunch of animals and things: a twig, a tiger, a butterfly, a parrot, an elephant, a frog, a crocodile, a giraffe, a snake, and some treasure",things
6,1,eng,bot,"hey there! i'm seeing a map with a bunch of animals and things: a twig, a tiger, a butterfly, a parrot, an elephant, a frog, a crocodile, a giraffe, a snake, and some treasure",a twig
7,1,eng,bot,"hey there! i'm seeing a map with a bunch of animals and things: a twig, a tiger, a butterfly, a parrot, an elephant, a frog, a crocodile, a giraffe, a snake, and some treasure",a tiger
8,1,eng,bot,"hey there! i'm seeing a map with a bunch of animals and things: a twig, a tiger, a butterfly, a parrot, an elephant, a frog, a crocodile, a giraffe, a snake, and some treasure",a butterfly
9,1,eng,bot,"hey there! i'm seeing a map with a bunch of animals and things: a twig, a tiger, a butterfly, a parrot, an elephant, a frog, a crocodile, a giraffe, a snake, and some treasure",a parrot
10,1,eng,bot,"hey there! i'm seeing a map with a bunch of animals and things: a twig, a tiger, a butterfly, a parrot, an elephant, a frog, a crocodile, a giraffe, a snake, and some treasure",an elephant
11,1,eng,bot,"hey there! i'm seeing a map with a bunch of animals and things: a twig, a tiger, a butterfly, a parrot, an elephant, a frog, a crocodile, a giraffe, a snake, and some treasure",a frog
12,1,eng,bot,"hey there! i'm seeing a map with a bunch of animals and things: a twig, a tiger, a butterfly, a parrot, an elephant, a frog, a crocodile, a giraffe, a snake, and some treasure",a crocodile
13,1,eng,bot,"hey there! i'm seeing a map with a bunch of animals and things: a twig, a tiger, a butterfly, a parrot, an elephant, a frog, a crocodile, a giraffe, a snake, and some treasure",a giraffe
14,1,eng,bot,"hey there! i'm seeing a map with a bunch of animals and things: a twig, a tiger, a butterfly, a parrot, an elephant, a frog, a crocodile, a giraffe, a snake, and some treasure",a snake
15,1,eng,bot,"hey there! i'm seeing a map with a bunch of animals and things: a twig, a tiger, a butterfly, a parrot, an elephant, a frog, a crocodile, a giraffe, a snake, and some treasure",some treasure
16,1,eng,bot,"i'm starting at the twig. so, where do we go from here?",the twig
17,1,eng,human,follow the small path that is past the snake to the other island,the small path
18,1,eng,human,follow the small path that is past the snake to the other island,the snake
19,1,eng,human,follow the small path that is past the snake to the other island,the other island
20,1,eng,bot,"i'm near the snake right now. where do we go to next, mate?",the snake
21,1,eng,bot,"i'm near the snake right now. where do we go to next, mate?",mate
22,1,eng,human,cross over the snake and there is a small path that will lead you to the other island where the girraffe is,the snake
23,1,eng,human,cross over the snake and there is a small path that will lead you to the other island where the girraffe is,a small path
24,1,eng,human,cross over the snake and there is a small path that will lead you to the other island where the girraffe is,the other island
25,1,eng,human,cross over the snake and there is a small path that will lead you to the other island where the girraffe is,the girraffe
26,1,eng,bot,"got it, i'm crossing over the snake now",the snake
27,1,eng,human,"yes, cross over the two rocks to the next island and you will see a big black rock and you will want to cross over that and walk across the alligator",the two rocks
28,1,eng,human,"yes, cross over the two rocks to the next island and you will see a big black rock and you will want to cross over that and walk across the alligator",the next island
29,1,eng,human,"yes, cross over the two rocks to the next island and you will see a big black rock and you will want to cross over that and walk across the alligator",a big black rock
30,1,eng,human,"yes, cross over the two rocks to the next island and you will see a big black rock and you will want to cross over that and walk across the alligator",the alligator
31,1,eng,human,when you cross the alligator let me know,the alligator
32,1,eng,bot,"ooh, that sounds risky but i'll do it. i'm crossing the rocks and moving past the big black rock",the rocks
